ID,Description
WE_AWBT_M_REF,Wife beating justified if she refuses to have sex with him [Men]
WE_AWBT_M_OUT,Wife beating justified if she goes out without telling him [Men]
EM_EMPM_W_EMP,Married women employed in the last 12 months
HA_ANSS_M_CND,Woman is justified in asking that they use a condom if she knows that her husband has an sti [Men]
WE_AWBT_M_BFD,Wife beating justified if she burns the food [Men]
HA_ANSS_W_RSX,Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Women]
WE_AWBT_W_ARG,Wife beating justified if she argues with him [Women]
WE_AWBT_M_ARG,Wife beating justified if she argues with him [Men]
CO_MOBB_W_MBF,Women who use a mobile phone for financial transactions
CO_MOBB_W_MOB,Women who own a mobile phone
WE_AWBT_W_REF,Wife beating justified if she refuses to have sex with him [Women]
WE_AWBT_W_BFD,Wife beating justified if she burns the food [Women]
WE_AWBT_W_OUT,Wife beating justified if she goes out without telling him [Women]
CO_MOBB_W_BNK,Women who have a bank account
WE_AWBT_W_NEG,Wife beating justified if she neglects the children [Women]
RH_DELP_C_HOT,Place of delivery: At home
RH_DELP_C_HOM,Place of delivery: At home
RH_DELP_C_PRV,Place of delivery: Private sector
RH_DELP_C_PRT,Place of delivery: Private sector
RH_DELP_C_PUB,Place of delivery: Public sector
RH_DELP_C_PUT,Place of delivery: Public sector
CM_ECMR_C_U5M,Under-five mortality rate in the ten years preceding the survey
CM_ECMR_C_U5F,Under-five mortality rate in the five years preceding the survey
RH_PCMT_W_DY2,Mother's first postnatal checkup in the first two days after birth
FP_NDYA_W_PDM,Demand for family planning satisfied by modern methods (all young women)
FP_NADM_W_PDM,Demand for family planning satisfied by modern methods
RH_PCMT_W_NON,No postnatal checkup for mother
RH_PAHC_W_DIS,Problems in accessing health care: Distance to health facility
RH_PAHC_W_MON,Problems in accessing health care: Getting money for treatment
RH_PAHC_W_PRM,Problems in accessing health care: Getting permission to go for treatment
